Performance1,,,,,,Performance2,,,,,,Performance3
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 14,,,,,,Run 14,,,,,,Run 14
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 15,,,,,,Run 15,,,,,,Run 15
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 16,,,,,,Run 16,,,,,,Run 16
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 17,,,,,,Run 17,,,,,,Run 17
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 18,,,,,,Run 18,,,,,,Run 18
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 19,,,,,,Run 19,,,,,,Run 19
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 20,,,,,,Run 20,,,,,,Run 20
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 21,,,,,,Run 21,,,,,,Run 21
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 22,,,,,,Run 22,,,,,,Run 22
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 23,,,,,,Run 23,,,,,,Run 23
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 24,,,,,,Run 24,,,,,,Run 24
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 25,,,,,,Run 25,,,,,,Run 25
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421,,,,,,Iteration 8: SSE = 67.72421
Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348,,,,,,Iteration 9: SSE = 67.30348
Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181,,,,,,Iteration 10: SSE = 67.0181
Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306,,,,,,Iteration 11: SSE = 66.8306
Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456,,,,,,Iteration 12: SSE = 66.61456
Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561,,,,,,Iteration 13: SSE = 66.3561
Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944,,,,,,Iteration 14: SSE = 66.21944
Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783,,,,,,Iteration 15: SSE = 66.11783
Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579,,,,,,Iteration 16: SSE = 66.00579
Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568,,,,,,Iteration 17: SSE = 65.94568
,,,,,,,,,,,,
Run 26,,,,,,Run 26,,,,,,Run 26
-----,,,,,,-----,,,,,,-----
Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768,,,,,,Iteration 1: SSE = 115.3768
Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082,,,,,,Iteration 2: SSE = 86.32082
Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615,,,,,,Iteration 3: SSE = 77.27615
Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351,,,,,,Iteration 4: SSE = 74.03351
Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344,,,,,,Iteration 5: SSE = 71.39344
Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312,,,,,,Iteration 6: SSE = 69.7312
Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291,,,,,,Iteration 7: SSE = 68.54291
